,dist,citation
0,1.018944,"Perrels, Adriaan (2013). Socio-Economic Benefits Of Weather And Climate Services In Europe. N/A, N/A(N/A), N/A-N/A. DOI: https://doi.org/10.5194/asr-10-65-2013"
1,1.0925864,"Jones, Lauren E. and Milligan, Kevin and Stabile, Mark (2019). Child Cash Benefits And Family Expenditures: Evidence From The National Child Benefit. N/A, N/A(N/A), N/A-N/A. DOI: 10.1111/caje.12409"
2,1.1400421,"Brown, Molly E. and Wooldridge, Charles (2016). Identifying And Quantifying Benefits Of Meteorological Satellites. N/A, N/A(N/A), N/A-N/A. DOI: 10.1175/bams-d-14-00224.1"
3,1.1948059,"de Cuba, Stephanie Ettinger and Chilton, Mariana and Bovell-Ammon, Allison and Knowles, Molly and Coleman, Sharon M. and Black, Maureen M. and Cook, John T. and Cutts, Diana Becker and Casey, Patrick H. and Heeren, Timothy C. and Frank, Deborah A. (2019). Loss Of Snap Is Associated With Food Insecurity And Poor Health In Working Families With Young Children. N/A, N/A(N/A), N/A-N/A. DOI: 10.1377/hlthaff.2018.05265"
4,1.2055004,"Nübler, L. and Austrian, K. and Maluccio, J. A. and Pinchoff, J. (2021). Rainfall Shocks, Cognitive Development And Educational Attainment Among Adolescents In A Drought-Prone Region In Kenya. N/A, N/A(N/A), N/A-N/A. DOI: 10.1017/s1355770x20000406"
5,1.217667,"Qin, X. and Wu, H. and Zhang, X. and Wang, W. (2022). The Widening Wealth Inequality As A Contributor To Increasing Household Carbon Emissions. N/A, N/A(N/A), N/A-N/A. DOI: 10.3389/feart.2022.872806"
6,1.2186018,"Bhattacharya, Haimanti and Innes, Robert (2013). Income And The Environment In Rural India: Is There A Poverty Trap?. N/A, N/A(N/A), N/A-N/A. DOI: 10.1093/ajae/aas121"
7,1.2243946,"Florio, Massimo and Morretta, Valentina (2021). Earth Observation And Economic Studies: A Cross-Fertilization Perspective. N/A, N/A(N/A), N/A-N/A. DOI: 10.1016/j.spacepol.2021.101429"
8,1.245645,"Gazeaud, Jules and Stephane, Victor (2023). Productive Workfare? Evidence From Ethiopia's Productive Safety Net Program. N/A, N/A(N/A), N/A-N/A. DOI: 10.1111/ajae.12310"
9,1.2462695,"Borowitz, Mariel and Zhou, Janet and Azelton, Krystal and Nassar, Isabelle-Yara (2023). Examining The Value Of Satellite Data In Halting Transmission Of Polio In Nigeria: A Socioeconomic Analysis. N/A, N/A(N/A), N/A-N/A. DOI: 10.1017/dap.2023.12"
10,1.2479227,"Zhang, Z. and Zhang, H. and Feng, J. and Wang, Y. and Liu, K. (2021). Evaluation Of Social Values For Ecosystem Services In Urban Riverfront Space Based On The Solves Model: A Case Study Of The Fenghe River, Xi’an, China. N/A, N/A(N/A), N/A-N/A. DOI: 10.3390/ijerph18052765"
11,1.2570162,"Puttanapong, N. and Luenam, A. and Jongwattanakul, P. (2022). Spatial Analysis Of Inequality In Thailand: Applications Of Satellite Data And Spatial Statistics/Econometrics. N/A, N/A(N/A), N/A-N/A. DOI: 10.3390/su14073946"
12,1.2594917,"Nooij, A. T. J. (1965). Values In European Agricultural Policies. N/A, N/A(N/A), N/A-N/A. DOI: 10.1111/j.1467-9523.1965.tb00511.x"
13,1.2685791,"Abay, K. A. and Tiberti, L. and Woldemichael, A. and Mezgebo, T. G. and Endale, M. (2023). Can Urbanisation Improve Household Welfare? Evidence From Ethiopia. N/A, N/A(N/A), N/A-N/A. DOI: 10.1093/jae/ejac003"
14,1.2731605,"Leishman, C. and Gurran, N. and James, A. and Nygaard, C. (2021). Inquiry Into Population, Migration And Agglomeration. N/A, N/A(N/A), N/A-N/A. DOI: 10.18408/ahuri3122001"
