"id","title","publication_year","authors","doi","tags","date_screened_t&a","t&a_status","t&a_exclusion_reasons"
6862994,"Effect Of An Environmental Flow On Vegetation Growth And Health Using Ground And Remote Sensing Metrics",2020,"{""Flessa, Karl W."",""Glenn, Edward P."",""Gomez-Sapiens, Martha M."",""Jarchow, Christopher J."",""Nagler, Pamela L."",""Shafroth, Patrick B.""}","10.1002/hyp.13689","{comparison}",2024-07-17 18:35:34,"excluded","{""Data is not valued""}"
7036830,"A Generic Self-Supervised Learning (Ssl) Framework For Representation Learning From Spectral-Spatial Features Of Unlabeled Remote Sensing Imagery",NA,NA,"10.3390/rs15215238","{}",2024-10-29 23:59:14,"excluded","{Validation/calibration}"
6863266,"A Comprehensive Survey On Gnss Interferences And The Application Of Neural Networks For Anti-Jamming",2023,"{""Lorraine, Kambham Jacob Silva"",""Ramarakula, Madhu""}","10.1080/03772063.2021.1953407","{}",2024-10-03 17:33:56,"excluded","{""No societal value context""}"
6863188,"Hydroponic Farming Hotspot Analysis Using The Getis–Ord Gi* Statistic And High-Resolution Satellite Data Of Majuli Island, India",2021,"{""Kumar, S."",""Parida, B. R.""}","10.1080/2150704x.2021.1895446","{}",2024-07-16 23:24:01,"excluded","{""Data is not valued""}"
6862992,"Drought Risk Assessment And Monitoring Of Ilocos Norte Province In The Philippines Using Satellite Remote Sensing And Meteorological Data",2023,"{""Alonzo, Christian Albert"",""Galabay, Joanna Mae"",""Macatangay, Margadrew Nicole"",""Magpayo, Mark Brianne"",""Ramirez, Ryan""}","10.3390/agriengineering5020045","{}",2024-07-12 23:22:31,"excluded","{""Data is not valued""}"
6903541,"Development Of A Water Quality Management Model For Dry Rivers In Arid Regions: Application On Wadi Rumah, Saudi Arabia",NA,NA,"10.34133/ehs.0001","{}",2024-09-27 18:49:45,"excluded","{""Data is not valued""}"
7038032,"Selecting Optimal Prices And Outpost Locations For Rural Vaccination Campaigns",NA,NA,"10.1177/0160017612461505","{}",2024-11-22 18:02:18,"excluded","{""ESI data not used""}"
6863065,"Spatial Distribution Of Xco2 Using Oco-2 Data In Growing Seasons",2019,"{""Alavi, S. J."",""Falahatkar, S."",""Siabi, Z.""}","10.1016/j.jenvman.2019.05.049","{}",2024-10-03 17:36:23,"excluded","{""Data is not valued""}"
6662042,"Effects Of Farm Management Practices And Environmental Factors On Bulk Tank Milk Antibodies Against Gastrointestinal Nematodes In Dairy Farms Across Canada",2012,"{""Conboy, Gary"",""Dohoo, Ian"",""Sanchez, Javier"",""Vanderstichel, Raphael""}","10.1016/j.prevetmed.2011.09.022","{cco}",2024-04-11 22:15:13,"excluded","{""ESI data not used""}"
6863611,"The Establishment Of Sperm Morphology Satellite Training Laboratories In Africa",2005,"{""Dada, O. A."",""Franken, D. R.""}","10.1111/j.1439-0272.2005.00653.x","{""satellite clinics""}",2024-07-19 23:48:19,"excluded","{""ESI data not used""}"
6862722,"Mapping Forest Cover And Estimating Soil Organic Matter By Gis-Data And An Empirical Model At The Subnational Level In Mexico",2023,"{""Arroyo, Itzel"",""Castelan, Rosalia"",""Tamariz-Flores, Victor""}","10.3390/f14030539","{}",2024-07-17 00:09:20,"excluded","{""Data is not valued""}"
6862837,"Multi-Scenario Simulation Of Land Use And Land Cover Based On Shared Socioeconomic Pathways: The Case Of Coastal Special Economic Zones In China",2023,"{""Li, Y."",""Luan, W."",""Tian, C."",""Yang, D."",""Zhang, Z.""}","10.1016/j.jenvman.2023.117536","{}",2024-07-12 23:19:41,"excluded","{""Data is not valued""}"
7038039,"Space As An Enabler In The Maritime Sector",NA,NA,"10.1016/j.actaastro.2019.06.017","{}",2024-10-30 17:26:33,"excluded","{""Data is not valued""}"
6903594,"Balancing Model Generality And Specificity In Management-Focused Habitat Selection Models For Gunnison Sage-Grouse",NA,NA,"10.1016/j.gecco.2021.e01935","{""satellite populations""}",2024-09-26 00:37:48,"excluded","{""ESI data not used""}"
7037910,"Methodological Processes For The Placement Of Satellite Transmitters In Hard-Shelled Sea Turtles On Nesting Beaches",NA,NA,"10.22370/rbmo.2018.53.2.1289","{}",2024-11-22 18:09:05,"excluded","{""Data is not valued""}"
6863358,"Time Ring Data: Definition And Application In Spatio-Temporal Analysis Of Urban Expansion And Forest Loss",2023,"{""Bao, Haijun"",""Li, Xinhu"",""Liu, Xin""}","10.3390/rs15040972","{""algorithm is valued""}",2024-07-16 23:30:31,"excluded","{""Data is not valued""}"
6863570,"The Smart Grid - State-Of-The-Art And Future Trends",2014,"{""El-Hawary, M. E.""}","10.1080/15325008.2013.868558","{}",2024-07-17 19:32:44,"excluded","{""No societal value context""}"
6863176,"A Robust Stochastic Approach In Correcting The Trmm Precipitation Product And Simulating Flood Features",2022,"{""Asadollah, Seyed Babak Haji Seyed"",""Hemmati, Naeim"",""Neshat, Aminreza"",""Sharafati, Ahmad""}","10.1007/s10661-022-10030-x","{calibration}",2024-07-19 20:13:14,"excluded","{""Data is not valued""}"
6691546,"Integrated capacity building for faster up-take of Earth observation data in knowledge value chains",2020,"{""Bye, Lilja Bente""}","https://doi.org/10.1088/1755-1315/509/1/012006","{}",2024-04-22 02:46:46,"excluded","{""Data is not valued""}"
6903546,"Coastal Phytoplankton Blooms Expand And Intensify In The 21st Century",NA,NA,"10.1038/s41586-023-05760-y","{}",2024-09-27 23:17:08,"excluded","{""Data is not valued""}"
6863677,"Cropwatch Agroclimatic Indicators (Cwais) For Weather Impact Assessment On Global Agriculture",2017,"{""Chen, Bo"",""Feng, Xueliang"",""Gommes, Rene"",""Li, Zhongyuan"",""Wu, Bingfang"",""Zeng, Hongwei"",""Zhang, Ning""}","10.1007/s00484-016-1199-7","{}",2024-07-18 23:26:20,"excluded","{""Data is not valued""}"
6447822,"Landsat continuity: Issues and opportunities for land cover monitoring",2008,"{""Cohen, Warren B."",""Goward, Samuel N."",""Herold, Martin"",""Irons, James R."",""Loveland, Thomas R."",""Masek, Jeffrey G."",""White, Joanne C."",""Woodcock, Curtis E."",""Wulder, Michael A.""}","10.1016/j.rse.2007.07.004","{}",NA,NA,NA
6903556,"Tissue-Level Biomarkers In Sentinel Slugs As Cost-Effective Tools To Assess Metal Pollution In Soils",NA,NA,"10.1007/s002449900301","{""sentinel slugs"",spurious}",2024-09-30 21:17:48,"excluded","{""ESI data not used""}"
7038573,"Development Of Modis Data-Based Algorithm For Retrieving Sea Surface Temperature In Coastal Waters",NA,NA,"10.1007/s10661-017-6010-7","{}",2024-11-18 19:15:55,"excluded","{""Data is not valued""}"
6903532,"How Historical Land Use/Land Cover Changes Affected Ecosystem Services In Lake Pamvotis, Greece",NA,NA,"10.1080/10807039.2020.1855575","{""terra = mediterranean""}",2024-10-01 17:27:38,"excluded","{""Data is not valued""}"
6862847,"Changemask: Deep Multi-Task Encoder-Transformer-Decoder Architecture For Semantic Change Detection",2022,"{""Ma, A."",""Tian, S."",""Zhang, L."",""Zheng, Z."",""Zhong, Y.""}","10.1016/j.isprsjprs.2021.10.015","{algorithm}",2024-07-18 23:44:27,"excluded","{""Data is not valued""}"
6863311,"Spatiotemporal Patterns Of Ecosystem Service Value Changes And Their Coordination With Economic Development: A Case Study Of The Yellow River Basin, China",2020,"{""Guo, A."",""Jiang, D."",""Zhang, Y."",""Zhong, F.""}","10.3390/ijerph17228474","{}",2024-07-12 23:18:45,"excluded","{""Data is not valued""}"
