author,journal,year,doi,bibtex_source,benchmark,doc_id
aahd,revue des sciences de l eau,2009,10.7202/019820ar,scopus.bib,FALSE,1
aapro,supportive care in cancer,2020,10.1007/s00520-020-05539-1,scopus.bib,FALSE,2
abad,science of the total environment,2022,10.1016/j.scitotenv.2022.153335,scopus.bib;wos_1501_2000.bib,FALSE,3
abad,proceedings 32nd international symposium on remote sensing of environment sustainable development through global earth observations,2007,NA,scopus.bib,FALSE,4
abaduribarren,estuarine coastal and shelf science,2022,10.1016/j.ecss.2022.107957,scopus.bib,FALSE,5
abaduribarren,fisheries oceanography,2019,10.1111/fog.12446,scopus.bib,FALSE,6
abapour,sustainable cities and society,2020,10.1016/j.scs.2019.101787,wos_3001_3500.bib,FALSE,7
abate,sustainability switzerland ,2023,10.3390/su15043337,scopus.bib,FALSE,8
abbas,aip conference proceedings,2022,10.1063/5.0121114,scopus.bib,FALSE,9
abbas,isprs journal of photogrammetry and remote sensing,2021,10.1016/j.isprsjprs.2021.05.003,scopus.bib,FALSE,10
abbas,iop conference series earth and environmental science,2021,10.1088/1755-1315/722/1/012014,scopus.bib,FALSE,11
abbas,proceedings of the international astronautical congress iac,2019,NA,scopus.bib,FALSE,12
abbas,2015 power generation systems and renewable energy technologies pgsret 2015,2015,10.1109/pgsret.2015.7312189,scopus.bib,FALSE,13
abbas,international archives of the photogrammetry remote sensing and spatial information sciences isprs archives,2012,NA,scopus.bib,FALSE,14
abbasnezhad,sustainability switzerland ,2023,10.3390/su151914270,scopus.bib,FALSE,15
abbaszadeh,journal of research and health,2019,10.32598/jrh.9.6.496,scopus.bib,FALSE,16
abbes,environmental information systems concepts methodologies tools and applications,2018,10.4018/978-1-5225-7033-2.ch053,scopus.bib,FALSE,17
abbott,ecography,2023,10.1111/ecog.06644,scopus.bib;wos_2501_3000.bib,FALSE,18
abburu,engineering journal thailand,2015,10.4186/ej.2015.19.2.129,wos_1001_1500.bib,FALSE,19
abcede,asean engineering journal,2022,10.11113/aej.v12.16496,scopus.bib,FALSE,20
abd elhamid,journal of coastal conservation,2022,10.1007/s11852-022-00927-7,scopus.bib;wos_1501_2000.bib,FALSE,21
abd hamid,sustainability,2021,10.3390/su132212432,wos_3001_3500.bib,FALSE,22
abdalla,iop conference series earth and environmental science,2020,10.1088/1755-1315/528/1/012049,scopus.bib,FALSE,23
abdalla,wit transactions on the built environment,2007,10.2495/ut070541,scopus.bib,FALSE,24
abdallah,international journal of applied earth observation and geoinformation,2010,10.1016/j.jag.2010.05.008,scopus.bib;wos_2001_2500.bib,FALSE,25
abdelaal,science of the total environment,2021,10.1016/j.scitotenv.2020.141654,scopus.bib,FALSE,26
abdelfattah,arabian journal of geosciences,2015,10.1007/s12517-014-1289-y,wos_2001_2500.bib,FALSE,27
abdelhaleem,journal of environmental management,2021,10.1016/j.jenvman.2021.113683,scopus.bib,FALSE,28
abdelhamid,journal of the indian society of remote sensing,2023,10.1007/s12524-022-01663-z,scopus.bib;wos_1001_1500.bib,FALSE,29
abdelrahman,sustainable water resources management,2022,10.1007/s40899-022-00704-2,scopus.bib;wos_2501_3000.bib,FALSE,30
abdelsamie,agriculture switzerland ,2023,10.3390/agriculture13010035,scopus.bib,FALSE,31
abdi,environmental monitoring and assessment,2023,10.1007/s10661-023-11796-4,scopus.bib,FALSE,32
abdo,arabian journal of geosciences,2021,10.1007/s12517-021-06726-y,scopus.bib,FALSE,33
abdollahi,science of the total environment,2023,10.1016/j.scitotenv.2023.163004,scopus.bib,FALSE,34
abdollahi,integrated drought management volume 2 forecasting monitoring and managing risk,2023,10.1201/9781003276548-20,scopus.bib,FALSE,35
abdollahnejad,forests,2017,10.3390/f8020042,scopus.bib,FALSE,36
abdrabo,remote sensing,2020,10.3390/rs12213548,scopus.bib,FALSE,37
abdul rahaman,isprs annals of the photogrammetry remote sensing and spatial information sciences,2015,10.5194/isprsannals-ii-2-w2-207-2015,scopus.bib,FALSE,38
abdulhammed,iraqi journal of science,2023,10.24996/ijs.2023.64.3.42,scopus.bib,FALSE,39
abdulkareem,environment systems and decisions,2019,10.1007/s10669-018-9696-3,scopus.bib,FALSE,40
abdullah,ecological informatics,2022,10.1016/j.ecoinf.2022.101730,scopus.bib;wos_1501_2000.bib,FALSE,41
abdullah,environmental monitoring and assessment,2013,10.1007/s10661-012-2833-4,scopus.bib;wos_1501_2000.bib,FALSE,42
abdullahalfaisal,environmental challenges,2021,10.1016/j.envc.2021.100147,scopus.bib,FALSE,43
abdullahalmamun,journal of forestry research,2017,10.1007/s11676-016-0275-5,wos_1001_1500.bib,FALSE,44
abdulwahid,proceedings of the 2016 ieee 11th conference on industrial electronics and applications iciea 2016,2016,10.1109/iciea.2016.7603542,scopus.bib,FALSE,45
abdusalam,journal of geo information science,2018,10.12082/dqxxkx.2018.180043,scopus.bib,FALSE,46
abebe,environmental monitoring and assessment,2022,10.1007/s10661-022-10498-7,scopus.bib,FALSE,47
abebe,geojournal,2020,10.1007/s10708-018-9951-7,wos_2501_3000.bib,FALSE,48
abedi,geophysical prospecting,2015,10.1111/1365-2478.12186,scopus.bib,FALSE,49
abella,acrs 2020 41st asian conference on remote sensing,2020,NA,scopus.bib,FALSE,50
abellera,40th asian conference on remote sensing acrs 2019 progress of remote sensing technology for smart future,2020,NA,scopus.bib,FALSE,51
abera,advances in water resources,2017,10.1016/j.advwatres.2017.03.010,scopus.bib,FALSE,52
abesht,32nd asian conference on remote sensing 2011 acrs 2011,2011,NA,scopus.bib,FALSE,53
abhyankar,proceedings of spie the international society for optical engineering,2006,10.1117/12.696598,scopus.bib,FALSE,54
abichou,journal of the air and waste management association,2010,10.3155/1047-3289.60.4.460,scopus.bib,FALSE,55
abidin,geojournal of tourism and geosites,2023,10.30892/gtg.47204-1036,scopus.bib,FALSE,56
abiodun,NA,2000,NA,wos_1001_1500.bib,FALSE,57
ablat,water switzerland ,2021,10.3390/w13162269,scopus.bib,FALSE,58
abou elmagd,handbook of environmental chemistry,2019,10.1007/698_2017_79,scopus.bib,FALSE,59
abou samra,environmental science and pollution research,2022,10.1007/s11356-021-17347-z,scopus.bib,FALSE,60
abou samra,egyptian journal of remote sensing and space sciences,2021,10.1016/j.ejrs.2021.11.006,wos_0501_1000.bib,FALSE,61
aboushaara,diversity,2022,10.3390/d14080690,scopus.bib,FALSE,62
abraham,journal of the american college of cardiology,2017,10.1016/j.jacc.2017.05.052,scopus.bib,FALSE,63
abrahms,nature communications,2021,10.1038/s41467-021-27626-5,wos_2001_2500.bib,FALSE,64
abrahms,diversity and distributions,2019,10.1111/ddi.12940,scopus.bib;wos_2001_2500.bib,FALSE,65
abramov,NA,2019,NA,wos_1001_1500.bib,FALSE,66
abramov,proceedings of the international astronautical congress iac,2015,NA,scopus.bib,FALSE,67
abreu,waste management,2016,10.1016/j.wasman.2016.03.048,scopus.bib,FALSE,68
abrykosov,geophysical journal international,2022,10.1093/gji/ggab421,scopus.bib,FALSE,69
abuelgasim,proceedings of the third international workshop on the analysis of multi temporal remote sensing images 2005,2005,10.1109/amtrsi.2005.1469879,scopus.bib,FALSE,70
abunnasr,city and environment interactions,2023,10.1016/j.cacint.2023.100110,scopus.bib;wos_1501_2000.bib,FALSE,71
abunnasr,urban climate,2022,10.1016/j.uclim.2022.101187,scopus.bib;wos_1001_1500.bib,FALSE,72
abutaleb,egyptian journal of remote sensing and space science,2021,10.1016/j.ejrs.2020.07.002,scopus.bib,FALSE,73
abutaleb,egyptian journal of remote sensing and space sciences,2021,10.1016/j.ejrs.2020.09.001,wos_2001_2500.bib,FALSE,74
acevedo,ceur workshop proceedings,2012,NA,scopus.bib,FALSE,75
acevedo,space policy,2011,10.1016/j.spacepol.2011.02.003,scopus.bib;wos_1001_1500.bib,FALSE,76
achard,environmental research letters,2007,10.1088/1748-9326/2/4/045022,scopus.bib,FALSE,77
acharya,remote sensing,2020,10.3390/rs12244019,scopus.bib,FALSE,78
acheampong,journal of petroleum science and engineering,2021,10.1016/j.petrol.2021.109109,scopus.bib,FALSE,79
achermann,iop conference series earth and environmental science,2020,10.1088/1755-1315/503/1/012048,scopus.bib,FALSE,80
achhami,world environmental and water resources congress 2019 watershed management irrigation and drainage and water resources planning and management selected papers from the world environmental and water resources congress 2019,2019,10.1061/9780784482339.001,scopus.bib,FALSE,81
achmad,journal of water and land development,2023,10.24425/jwld.2023.145346,scopus.bib,FALSE,82
achmad,lecture notes in civil engineering,2023,10.1007/978-981-99-1403-6_32,scopus.bib,FALSE,83
